연번,구군명,법정동,행정동,기관명,주소,연락처,운영요일,휴무일,(학기)시작,(학기)종료,(방학)시작,(방학)종료,이용대상,이용요금,full_addr,lon,lat,match_type,matched_query
187,사상구,괘법동,괘법동,사랑의집지역아동센터,사상구 광장로105번길 17(괘법동),051-322-2832,월-토,"일,공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 광장로105번길 17(괘법동),128.987789219964,35.1636648720316,address_full,부산광역시 사상구 광장로105번길 17(괘법동)
188,사상구,덕포동,덕포1동,디딤돌지역아동센터,사상구 사상로310번길 75-5(덕포동),051-302-1279,월-금,"토, 일, 공휴일",10:00,19:30,9:30,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 사상로310번길 75-5(덕포동),128.986812219357,35.1710802699891,address_full,부산광역시 사상구 사상로310번길 75-5(덕포동)
189,사상구,덕포동,덕포1동,희망지역아동센터,"사상구 사상로 275, 3층(덕포동)",051-304-5098,월-금,"토, 일, 공휴일",11:00,20:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사상구 사상로 275, 3층(덕포동)",128.982244338201,35.1693858558721,address_full,"부산광역시 사상구 사상로 275, 3층(덕포동)"
190,사상구,덕포동,덕포2동,덕포영재지역아동센터,사상구 백양대로 766 (덕포동),051-302-6036,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 백양대로 766 (덕포동),128.988685632402,35.1751749992593,address_full,부산광역시 사상구 백양대로 766 (덕포동)
191,사상구,모라동,모라1동,사랑지역아동센터,사상구 백양대로934번길 42-1(모라동),051-312-6752,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 백양대로934번길 42-1(모라동),128.993456154513,35.1899276726406,address_full,부산광역시 사상구 백양대로934번길 42-1(모라동)
192,사상구,모라동,모라1동,새솔지역아동센터,"사상구 백양대로 906, 102동 102호(모라동, 우성아파트)",051-316-0025,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사상구 백양대로 906, 102동 102호(모라동, 우성아파트)",128.992227465024,35.1884675454805,address_full,"부산광역시 사상구 백양대로 906, 102동 102호(모라동, 우성아파트)"
193,사상구,모라동,모라3동,모라지역아동센터,사상구 모라로110번길 129(모라동),070-4924-9848,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 모라로110번길 129(모라동),128.997874101631,35.1849447285069,address_full,부산광역시 사상구 모라로110번길 129(모라동)
194,사상구,모라동,모라3동,백양지역아동센터,사상구 모라로192번길 20-33(모라동),051-711-0077,월-금,"토, 일, 공휴일",11:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 모라로192번길 20-33(모라동),128.999348120046,35.1837282371326,address_full,부산광역시 사상구 모라로192번길 20-33(모라동)
195,사상구,삼락동,삼락동,문일지역아동센터,사상구 사상로309번길 68(삼락동),051-305-7069,월-금,"토, 일, 공휴일",11:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 사상로309번길 68(삼락동),128.97957362167,35.1728165234979,address_full,부산광역시 사상구 사상로309번길 68(삼락동)
196,사상구,엄궁동,엄궁동,샘물지역아동센터,"사상구 대동로 40, 3층(엄궁동)",051-322-0675,월-금,"토, 일, 공휴일",10:00,20:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사상구 대동로 40, 3층(엄궁동)",128.974510457507,35.134405702746,address_full,"부산광역시 사상구 대동로 40, 3층(엄궁동)"
197,사상구,주례동,주례1동,사상구지역아동센터,사상구 백양대로 527(주례동),070-4335-8438,월-금,"토, 일, 공휴일",10:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 백양대로 527(주례동),128.994783401706,35.1554302845925,address_full,부산광역시 사상구 백양대로 527(주례동)
198,사상구,주례동,주례2동,문화지역아동센터,사상구 가야대로366번길 125(주례동),051-312-2585,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 가야대로366번길 125(주례동),129.013662855205,35.1457620709036,address_full,부산광역시 사상구 가야대로366번길 125(주례동)
199,사상구,주례동,주례2동,주례지역아동센터,사상구 가야대로366번길 63-6(주례동),070-7763-1649,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 가야대로366번길 63-6(주례동),129.013284297502,35.1481428628606,address_full,부산광역시 사상구 가야대로366번길 63-6(주례동)
200,사상구,주례동,주례3동,새생명지역아동센터,"사상구 주례로 10번길 131, 3층(주례동)",051-311-5199,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사상구 주례로 10번길 131, 3층(주례동)",129.004294954112,35.1491715853839,address_full,"부산광역시 사상구 주례로 10번길 131, 3층(주례동)"
201,사상구,학장동,학장동,부산꿈지역아동센터,"사상구 대동로 110-13, 1층(학장동, 부산유치원)",070-8800-8849,월-금,"토, 일, 공휴일",10:00,21:00,10:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사상구 대동로 110-13, 1층(학장동, 부산유치원)",128.980267521703,35.1387112931047,address_full,"부산광역시 사상구 대동로 110-13, 1층(학장동, 부산유치원)"
202,사상구,학장동,학장동,학장지역아동센터,사상구 학감대로 49번길 28-70(학장동),051-311-4014,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 학감대로 49번길 28-70(학장동),128.989744360593,35.1386514369452,address_full,부산광역시 사상구 학감대로 49번길 28-70(학장동)
203,기장군,기장읍,기장읍,교리지역아동센터,"기장군 기장읍 차성로417번길 25, 2층",051-724-0907,월-금,"토, 일, 공휴일",10:00,20:00,12:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 기장읍 차성로417번길 25, 2층",129.215738657215,35.256463868378,address_full,"부산광역시 기장군 기장읍 차성로417번길 25, 2층"
204,기장군,기장읍,기장읍,꿈나무지역아동센터,"기장군 기장읍 대청로36번길 11-12, 1층",051-723-1213,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 기장읍 대청로36번길 11-12, 1층",129.214920000617,35.2369285238856,address_full,"부산광역시 기장군 기장읍 대청로36번길 11-12, 1층"
205,기장군,기장읍,기장읍,무양지역아동센터,"기장군 기장읍 차성동로5번길 32, 101호(테마파크빌 1차)",051-723-0621,월-금,"토, 일, 공휴일",11:00,20:00,11:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 기장읍 차성동로5번길 32, 101호(테마파크빌 1차)",129.214560958267,35.2384916034869,address_full,"부산광역시 기장군 기장읍 차성동로5번길 32, 101호(테마파크빌 1차)"
206,기장군,기장읍,기장읍,행복지역아동센터,"기장군 기장읍 차성동로122번길 10, 1층",051-721-4977,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 기장군 기장읍 차성동로122번길 10, 1층",129.2175332469,35.2484094904319,address_full,"부산광역시 기장군 기장읍 차성동로122번길 10, 1층"
207,기장군,일광읍,일광읍,온드림지역아동센터,"기장군 일광읍 해빛로 29, 204동 104호(일광자이푸르지오2차)",051-703-7052,월-금,"토, 일, 공휴일",10:00,20:00,9:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 일광읍 해빛로 29, 204동 104호(일광자이푸르지오2차)",129.224075807701,35.266508511069,address_full,"부산광역시 기장군 일광읍 해빛로 29, 204동 104호(일광자이푸르지오2차)"
208,기장군,정관읍,정관읍,글로벌지역아동센터,"기장군 정관읍 산단4로 139, 108동 105호(정관 동원로얄듀크1 차)",051-727-0601,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 정관읍 산단4로 139, 108동 105호(정관 동원로얄듀크1 차)",129.191582018242,35.3186287861828,address_full,"부산광역시 기장군 정관읍 산단4로 139, 108동 105호(정관 동원로얄듀크1 차)"
209,기장군,정관읍,정관읍,모전지역아동센터,"기장군 정관읍 정관1로 18, 105동 101호(이지더원아파트)",051-728-0399,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 정관읍 정관1로 18, 105동 101호(이지더원아파트)",129.163228660489,35.339608265985,address_full,"부산광역시 기장군 정관읍 정관1로 18, 105동 101호(이지더원아파트)"
210,기장군,정관읍,정관읍,사랑샘지역아동센터,"기장군 정관읍 정관로 580, 3층 307호(사랑샘프라자)",051-728-7668,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 정관읍 정관로 580, 3층 307호(사랑샘프라자)",129.177080295577,35.3206321107406,address_full,"부산광역시 기장군 정관읍 정관로 580, 3층 307호(사랑샘프라자)"
211,기장군,정관읍,정관읍,신정LCC지역아동센터,"기장군 정관읍 용수로 10, 5층",051-727-0191,월-토,"일, 공휴일",9:00,22:00,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 기장군 정관읍 용수로 10, 5층",129.179792629106,35.3255226061173,address_full,"부산광역시 기장군 정관읍 용수로 10, 5층"
212,기장군,정관읍,정관읍,이레지역아동센터,"기장군 정관읍 구연방곡로 10, 106동 103호(정관 센트럴 파크)",051-724-0079,월-금,"토, 일, 공휴일",11:00,24:00,10:30,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 기장군 정관읍 구연방곡로 10, 106동 103호(정관 센트럴 파크)",129.185257823533,35.3208722774513,address_full,"부산광역시 기장군 정관읍 구연방곡로 10, 106동 103호(정관 센트럴 파크)"
